age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
17,2,269430,6,4,6,1,4,1,0,0,40,39
20,2,257509,9,4,2,3,4,1,0,0,40,39
65,2,136384,14,2,9,0,4,1,0,0,50,39
44,3,120277,11,2,11,0,4,1,0,0,45,39
36,2,465326,9,2,4,0,4,1,0,0,40,39
29,2,103634,7,2,7,0,4,1,0,0,40,39
20,5,138371,10,4,4,3,4,1,0,0,32,39
28,2,242832,11,2,9,5,4,0,0,0,36,39
54,2,186272,10,2,13,0,4,1,3908,0,50,39
52,2,201062,7,5,8,1,2,0,0,0,18,39
56,3,131916,9,6,3,1,4,0,0,0,50,39
18,2,54440,10,4,7,3,4,1,0,0,20,39
39,2,280215,9,0,5,3,2,1,0,0,40,39
21,2,214399,10,4,7,3,4,0,0,1721,24,39
22,2,54164,9,4,7,1,4,1,14084,0,60,39
38,2,219446,5,3,3,1,4,1,0,0,54,26
21,2,110677,10,4,0,3,4,0,0,0,40,39
63,2,145985,9,2,2,0,4,1,0,0,40,39
34,1,382078,13,2,3,0,4,1,3103,0,50,39
42,3,170721,9,2,3,0,4,1,5178,0,50,39
33,2,269705,9,2,5,0,4,1,0,0,40,39
30,2,101135,13,4,3,1,4,0,0,0,50,39
39,2,118429,10,0,11,1,4,1,0,0,40,39
26,2,31208,14,4,3,1,4,0,0,0,40,39
33,2,281384,9,4,6,3,4,0,0,0,40,39
47,1,171807,9,0,0,1,4,0,0,0,40,39
41,2,109912,13,4,7,1,4,0,0,0,40,0
41,3,445382,12,2,2,0,4,1,15024,0,60,39
19,2,105460,10,4,7,3,4,1,0,0,20,39
46,2,170338,9,5,13,1,4,1,0,0,40,39
43,2,102606,9,2,11,0,4,1,0,0,48,39
55,2,323887,10,2,3,0,4,1,15024,0,45,39
46,2,175622,11,2,12,0,4,1,0,0,40,39
30,2,229636,9,2,6,0,4,1,0,0,40,26
21,2,388946,10,5,5,1,4,0,0,0,40,39
46,2,269034,10,2,2,0,3,1,0,0,40,6
17,6,165361,6,4,14,3,4,1,0,0,40,39
41,2,75012,9,2,6,0,4,1,0,0,50,39
69,3,174379,9,2,11,0,4,1,0,0,30,39
50,2,312477,9,2,13,0,4,1,0,0,40,39
20,2,72055,10,4,0,1,4,0,0,0,40,39
45,3,67001,10,2,6,0,4,1,0,0,50,39
23,2,213734,13,4,3,1,4,1,0,0,40,39
24,2,83141,10,5,7,1,4,1,0,1876,40,39
44,3,223881,9,2,2,0,4,1,99999,0,50,0
31,4,113752,10,2,2,0,4,1,0,0,50,39
43,2,170482,9,5,6,1,4,0,0,0,44,39
20,0,244689,7,4,7,3,4,0,0,0,10,39
55,2,160631,9,2,11,0,4,1,0,0,56,39
24,0,228724,10,4,1,1,4,1,0,0,40,39
41,6,38434,14,2,14,5,4,0,7688,0,10,39
59,2,292946,13,4,3,1,4,0,0,0,25,39
33,2,176410,14,2,9,5,4,0,5178,0,10,39
59,0,98984,13,0,0,1,4,1,0,0,40,39
34,2,198751,14,4,7,1,0,1,0,0,40,39
20,2,479296,9,4,5,3,4,1,0,0,40,39
25,2,235218,13,4,3,3,4,0,0,0,40,39
49,2,164877,6,2,4,0,4,1,0,0,40,39
59,2,272087,9,2,13,0,4,1,0,0,40,39
20,2,169699,9,4,0,1,4,0,0,0,40,39
51,6,189762,10,2,14,5,4,0,0,0,18,39
33,2,202191,10,4,0,4,2,0,0,0,35,39
22,2,212261,10,4,13,3,2,1,0,0,39,39
58,4,301568,5,6,7,1,4,0,0,0,40,39
52,1,155233,9,6,0,4,4,0,0,0,28,39
36,2,75826,6,5,6,1,4,0,0,0,40,39
41,1,201520,9,2,10,0,4,1,0,0,40,39
28,2,154236,9,4,13,3,4,1,2597,0,40,39
19,2,289227,10,4,5,3,2,1,0,0,16,39
18,2,217439,9,4,7,1,4,0,0,0,28,39
18,2,179020,9,4,6,3,4,0,0,0,48,39
28,2,149624,10,2,2,0,4,1,0,0,40,39
29,2,337266,11,2,3,0,4,1,0,0,40,39
20,6,30796,9,4,14,3,4,0,0,0,20,39
40,2,103541,10,2,5,0,4,1,0,0,40,39
26,2,206721,9,4,5,4,4,1,0,0,40,39
46,2,96773,9,2,2,0,4,1,0,0,40,39
23,2,200967,7,4,7,1,4,0,0,0,24,39
44,2,180019,9,3,0,4,4,0,0,0,40,39
43,2,179866,13,0,11,4,4,0,0,0,40,39
31,1,198770,13,0,9,4,4,0,0,0,60,39
18,2,219256,10,4,11,3,4,0,0,0,25,39
19,2,248730,10,4,10,3,4,1,0,0,30,39
41,2,110732,10,0,12,1,4,0,0,0,40,39
41,2,181020,9,0,5,4,4,0,0,0,40,39
69,2,183791,9,0,0,1,4,0,0,0,25,39
48,0,42972,16,2,9,5,4,0,0,0,40,39
28,2,134813,9,4,9,3,4,1,0,0,40,39
27,4,115438,9,2,2,0,4,1,0,0,60,21
41,2,239296,14,2,9,0,4,1,0,2415,50,39
41,2,428420,10,2,0,0,4,1,0,0,40,39
24,2,247846,9,4,2,4,2,0,0,0,40,39
20,6,334105,9,4,14,1,4,0,0,0,40,39
42,3,100793,16,2,9,0,4,1,0,0,41,39
57,2,244478,9,2,2,0,2,1,0,0,48,39
30,2,142921,12,4,9,1,4,0,0,0,40,39
36,2,182863,9,2,11,0,4,1,0,0,60,39
33,2,145402,9,2,6,5,4,0,0,0,35,39
23,2,306309,6,2,4,0,4,1,0,0,40,39
46,2,83822,14,2,9,0,4,1,0,0,40,39
18,2,262118,10,4,0,3,1,0,0,0,22,11
40,2,155972,9,2,3,0,4,1,7688,0,55,39
43,3,214503,9,2,3,0,4,1,0,1887,45,39
34,2,159303,14,4,9,3,4,0,0,0,30,39
47,4,174995,9,6,3,1,4,0,0,0,30,39
44,2,26669,11,6,3,4,4,0,0,0,30,39
33,2,177727,9,2,11,0,4,1,0,0,40,39
55,2,124771,13,2,3,0,4,1,15024,0,50,39
19,2,456736,9,4,11,1,4,1,2907,0,30,39
28,2,216604,10,4,7,1,2,1,0,0,14,39
27,2,221561,7,2,7,5,2,0,0,0,32,39
22,2,315476,7,4,2,4,4,1,0,0,40,39
40,5,67874,13,2,0,0,4,1,0,1887,45,39
25,2,126110,10,4,0,3,4,0,0,0,40,39
26,1,102264,9,4,2,1,4,1,0,0,40,39
22,2,537222,13,4,11,1,4,1,0,0,25,39
42,2,113732,10,4,5,4,2,0,0,625,40,39
38,3,93225,13,0,3,1,4,1,0,0,40,39
55,2,43064,7,2,7,0,4,1,0,0,30,39
32,2,136921,9,2,11,0,4,1,0,0,40,39
22,2,388885,9,2,2,0,4,1,0,0,45,39
29,2,142249,13,4,11,3,4,1,0,0,40,39
46,5,56841,14,2,3,0,4,1,0,0,45,39
31,2,156493,10,2,3,0,4,1,0,0,40,39
58,4,159021,16,2,9,0,4,1,0,0,16,39
42,2,190910,9,2,2,0,4,1,0,0,45,39
18,2,41879,9,4,5,4,4,1,0,0,25,39
58,1,137249,9,0,3,1,4,1,0,0,33,39
54,2,236157,9,2,9,0,4,1,0,1887,40,39
34,2,189759,14,4,9,1,4,1,0,0,40,39
26,2,239877,13,4,0,1,4,0,0,0,40,39
61,2,21175,8,2,3,0,4,1,0,0,60,39
48,1,67229,14,5,0,4,2,0,0,0,40,39
36,2,236391,10,2,3,0,4,1,0,0,45,39
24,2,325596,11,2,6,0,4,1,0,0,45,39
40,2,83411,10,2,6,0,4,1,0,0,37,39
33,3,154227,9,2,11,0,4,1,0,0,50,39
37,2,248010,10,2,6,0,4,1,0,1887,40,39
34,2,198613,14,4,3,3,4,1,4650,0,40,39
56,3,321529,10,2,3,0,4,1,15024,0,40,39
28,6,168524,9,2,14,3,4,0,0,0,38,39
37,2,203079,13,6,3,1,4,0,0,0,55,39
44,2,284652,9,0,11,4,2,0,0,0,40,39
64,6,201368,10,2,14,0,4,1,0,0,8,39
54,2,59840,9,0,5,1,4,1,0,0,45,39
23,2,52753,9,4,6,1,4,1,0,0,50,39
34,5,513100,13,3,4,1,2,1,0,0,40,0
22,2,199266,9,4,7,1,4,0,0,0,45,39
33,2,196385,13,2,3,0,4,1,0,1977,40,39
39,2,163205,13,5,9,1,4,1,0,0,50,39
47,2,411047,10,0,0,1,2,0,0,0,37,39
26,2,209440,9,4,9,4,2,0,0,0,55,39
31,2,56964,10,0,3,4,4,0,0,0,40,39
44,2,299197,10,4,13,1,4,1,0,0,45,39
42,3,240628,15,2,9,5,4,0,0,0,50,39
19,2,355313,9,4,6,1,4,0,0,0,40,39
27,2,132267,9,2,5,0,4,1,0,0,40,39
51,1,174861,10,2,10,0,4,1,0,0,40,39
28,3,142443,13,2,3,0,4,1,0,0,50,39
57,2,26716,13,0,2,1,4,1,0,0,45,39
45,1,185588,13,0,9,4,4,0,0,0,40,39
50,2,175029,11,2,9,0,4,1,0,0,40,39
34,3,34848,13,2,11,0,4,1,0,0,54,39
73,1,143437,9,2,3,0,4,1,0,0,20,39
34,2,357145,13,2,9,5,4,0,0,0,50,39
31,2,236861,10,2,11,0,4,1,0,0,55,39
19,2,53355,7,4,11,1,4,1,0,0,12,39
25,2,29106,10,4,7,3,4,0,0,0,50,39
38,0,213274,11,0,2,4,4,0,6497,0,40,39
39,2,22463,13,2,13,0,4,1,0,0,40,39
23,2,180497,13,4,12,3,2,0,0,0,32,39
49,2,37306,9,2,6,0,4,1,0,0,40,39
33,0,137814,9,4,7,1,4,1,0,0,32,39
31,2,220915,11,5,2,1,4,1,0,0,40,39
23,2,42251,13,4,3,1,4,0,0,0,45,39
34,2,162312,13,2,0,0,1,1,0,0,40,30
25,2,77698,9,4,6,1,1,0,0,0,40,30
39,2,282951,9,4,2,4,4,1,0,0,40,39
52,3,311259,9,2,11,0,4,1,0,0,40,39
63,1,65479,5,2,13,0,4,1,7688,0,40,39
41,2,277256,10,2,2,0,4,1,0,0,40,39
46,2,312088,13,2,9,0,4,1,15024,0,38,39
53,1,169719,9,2,3,0,4,1,0,0,40,39
25,6,270276,5,5,14,1,4,0,1055,0,40,39
18,2,96869,8,4,8,3,4,1,0,0,40,39
38,2,237943,15,2,9,0,4,1,0,0,50,39
55,2,119751,14,4,3,4,1,0,0,0,50,37
34,2,236861,9,2,12,0,4,1,0,0,40,39
34,2,147215,11,0,12,4,4,0,0,0,60,39
52,2,152373,10,2,12,0,4,1,5013,0,40,39
42,2,227968,9,4,7,4,2,0,0,0,28,14
26,2,362617,10,4,11,1,4,0,0,0,40,39
31,2,103435,9,2,13,0,4,1,0,0,40,39
25,1,281412,9,4,7,3,4,0,0,0,35,39
55,4,105239,9,2,2,0,4,1,0,2057,60,39
19,2,230165,10,4,7,3,4,0,0,0,12,39
62,4,177493,10,2,13,0,4,1,0,0,32,39
22,0,104443,10,4,0,3,4,0,0,0,20,39
39,6,110342,9,2,14,5,4,0,0,0,50,39
35,2,143385,9,2,5,0,4,1,0,0,40,39
28,2,107189,9,2,11,3,4,0,0,0,40,39
47,2,212944,9,2,13,0,4,1,0,0,70,39
44,5,138634,9,2,6,0,4,1,0,0,40,39
21,2,99970,10,4,11,3,4,1,0,0,15,39
35,2,203717,11,4,2,1,4,1,0,0,50,39
24,2,313956,13,2,9,0,4,1,0,0,40,39
42,0,177937,13,4,9,1,4,1,0,0,40,0
28,2,193868,13,4,12,3,4,1,0,0,50,39
21,2,250939,10,4,6,2,4,1,0,0,35,39
62,0,57629,10,0,12,1,2,1,4650,0,40,39
39,2,281768,9,4,7,1,2,0,0,0,40,39
30,5,260782,9,4,7,1,4,1,0,0,40,39
72,4,243769,15,4,9,1,4,1,0,1429,20,39
50,2,109937,10,2,3,5,4,0,0,0,50,39
28,1,134890,14,4,9,1,4,1,0,0,40,39
29,2,100293,10,4,9,1,4,0,0,0,40,39
26,2,132179,13,4,0,3,4,0,0,0,40,39
27,2,116372,14,4,3,1,4,0,0,0,40,39
29,2,255412,10,2,5,0,4,1,3103,0,40,39
61,6,195789,9,2,14,0,4,1,0,0,40,39
29,2,342400,6,2,2,0,4,1,0,0,25,39
21,6,65481,10,4,14,3,4,0,0,0,30,39
31,2,169085,7,2,11,5,4,0,0,0,20,39
25,2,177221,9,2,3,0,4,1,0,0,75,39
58,2,65325,6,2,13,0,4,1,0,0,40,39
64,2,118944,10,2,3,5,4,0,0,0,40,39
46,5,149337,14,4,3,1,4,1,0,0,38,39
53,6,237868,9,2,14,0,4,1,0,0,35,39
19,2,106183,9,4,7,3,0,0,0,0,35,39
42,2,226388,9,0,7,1,2,1,0,0,52,39
18,2,220754,7,4,5,3,4,1,0,0,24,39
58,3,204021,13,2,2,0,4,1,15024,0,50,39
20,2,347391,10,4,10,1,2,1,0,0,60,39
35,0,413930,9,2,2,0,4,1,0,0,40,39
32,2,174201,9,2,5,0,4,1,0,0,38,39
23,2,145917,9,4,5,1,4,0,0,0,25,39
31,2,241797,10,0,12,4,4,0,0,0,40,39
33,2,265168,13,2,11,0,2,1,0,0,55,39
41,2,171234,10,4,6,1,4,0,0,0,48,39
22,2,178452,9,4,6,3,2,1,0,0,40,39
46,2,157857,10,2,10,0,4,1,0,0,40,39
61,0,512864,10,2,13,0,2,1,0,0,40,39
30,2,296462,9,4,3,1,2,1,0,0,40,39
42,2,171615,9,2,3,0,4,1,0,0,55,39
63,2,214071,6,2,5,0,4,1,0,0,40,39
26,2,172421,10,2,11,0,4,1,0,0,40,39
42,2,195488,6,0,0,4,4,0,0,0,40,39
23,2,316841,10,2,7,0,4,1,0,0,40,39
25,2,236267,9,4,6,4,4,1,0,1590,40,39
30,2,236543,5,2,7,0,4,1,0,0,32,8
23,2,318483,9,4,11,3,4,1,0,0,40,39
34,4,163756,11,4,4,1,4,1,27828,0,60,39
30,2,238186,9,2,6,2,4,1,0,2057,48,39
39,2,329980,10,2,2,0,4,1,0,0,40,39
30,2,169269,7,4,5,2,4,1,0,1721,38,33
38,1,34744,10,0,0,4,4,0,0,0,38,39
26,2,98114,9,0,3,3,4,0,0,0,40,39
20,2,109667,10,4,5,3,4,1,0,0,16,39
37,1,263690,13,4,9,4,2,1,0,0,40,0
33,2,147430,9,2,0,3,4,0,0,0,40,39
24,2,224238,13,4,0,3,4,1,0,0,40,39
42,3,212894,13,2,3,0,4,1,0,0,60,39
51,4,136708,9,2,11,0,1,1,3103,0,84,40
56,1,38573,12,2,12,0,4,1,0,0,45,39
22,2,197200,10,4,5,3,4,1,0,0,40,39
52,4,182796,10,2,4,0,4,1,0,0,60,39
44,2,184527,13,0,3,4,4,0,4934,0,45,39
34,2,145231,9,2,0,5,4,0,4064,0,35,39
51,2,43354,10,0,2,1,4,1,0,0,42,39
20,6,318865,10,4,14,1,4,1,0,0,40,39
19,2,355712,10,4,11,1,4,0,0,0,25,39
37,2,98776,13,2,3,0,4,1,0,0,40,39
68,2,257557,9,2,6,0,2,1,0,0,40,39
22,2,102258,10,0,10,1,4,1,0,0,40,39
56,3,170287,13,2,3,0,4,1,0,0,40,39
37,2,243409,9,2,2,0,4,1,0,0,40,39
26,2,248057,9,5,5,3,4,1,0,0,40,33
33,2,95530,14,2,9,0,4,1,0,0,50,39
45,1,54038,14,0,9,4,4,0,0,0,42,39
18,2,161245,7,4,7,3,4,1,0,0,15,39
43,4,388725,10,2,4,0,4,1,0,0,60,39
64,4,71807,16,2,9,0,4,1,15024,0,50,0
18,2,228216,9,4,5,3,4,1,0,0,20,39
20,6,303121,10,4,14,3,4,1,0,0,45,39
57,2,78020,9,2,2,0,4,1,0,0,40,39
41,2,249254,9,0,0,4,4,0,3674,0,42,39
34,2,87218,14,2,3,0,4,1,0,1887,50,39
19,2,304299,9,4,11,4,4,0,0,0,40,39
44,2,196234,5,0,7,4,4,0,0,0,55,6
56,2,197875,6,6,7,4,4,0,0,0,40,39
36,3,48063,9,2,4,0,4,1,0,0,80,39
48,2,253596,13,0,3,4,4,0,0,0,48,39
29,2,39257,9,2,13,0,4,1,0,0,40,39
33,2,56150,13,4,2,1,4,1,2174,0,40,39
39,2,252445,14,2,9,0,4,1,0,0,45,39
66,2,275918,9,2,3,0,4,1,10605,0,40,39
27,2,106562,13,4,9,1,4,0,0,0,50,39
39,2,198654,9,0,3,4,2,0,99999,0,40,39
26,2,181896,9,4,7,3,4,0,0,0,40,39
31,2,106014,11,0,2,4,4,1,0,0,40,39
45,6,319993,9,6,14,4,4,0,0,0,40,26
23,2,197997,9,4,5,3,4,1,0,0,30,39
36,1,173542,9,0,0,4,4,0,0,0,40,39
34,2,207564,10,2,7,5,4,0,0,0,12,39
32,2,224462,9,2,13,0,4,1,0,0,84,39
37,2,123361,13,2,9,0,2,1,0,0,50,39
33,2,90409,13,4,11,1,4,1,0,0,45,39
50,4,165001,15,2,9,0,4,1,99999,0,80,39
32,0,149573,12,4,10,1,2,1,0,0,40,39
35,2,249456,13,4,0,3,2,0,0,0,40,39
37,2,149898,7,2,2,0,4,1,0,0,40,39
44,2,292985,10,0,2,1,4,1,0,0,60,39
57,2,50223,10,0,5,2,4,1,0,0,25,39
29,1,400074,10,2,3,3,4,0,0,0,40,39
55,2,197399,9,2,2,0,4,1,0,0,50,39
43,3,209547,15,2,9,0,4,1,0,0,25,39
43,2,52433,10,2,11,0,4,1,0,0,70,39
45,4,355978,10,2,11,0,4,1,0,0,60,39
33,4,48214,14,2,9,5,4,0,0,0,8,39
26,2,190873,6,0,7,4,4,0,0,0,40,11
23,2,278390,10,2,11,0,4,1,0,0,68,39
24,2,279175,9,2,2,0,4,1,0,0,40,39
47,4,194590,13,2,11,0,4,1,0,0,44,39
34,4,198813,9,4,2,3,4,1,0,0,45,39
40,2,187294,9,2,3,0,4,1,0,0,40,39
28,2,302903,13,2,9,5,1,0,0,1485,40,39
24,2,154835,9,4,3,3,1,0,0,0,40,35
73,6,73402,10,2,14,0,4,1,0,0,10,39
23,2,100345,9,4,2,2,4,1,0,0,15,39
43,4,126320,9,2,3,0,2,1,0,0,40,39
26,2,142226,13,0,12,1,4,0,0,0,40,39
58,4,112076,16,1,3,5,4,0,0,1485,35,39
52,2,225339,9,6,0,4,2,0,0,0,35,39
29,2,211208,7,2,13,0,4,1,0,0,99,39
47,2,200808,7,2,7,0,4,1,0,0,35,4
49,2,220618,9,0,0,4,2,0,0,0,37,39
40,2,210493,7,6,0,4,4,0,0,0,40,39
62,4,369734,9,2,0,5,4,0,0,0,40,39
49,2,27898,9,2,3,0,4,1,0,1977,55,39
50,2,138193,13,0,9,2,4,0,0,0,50,39
31,2,224234,9,4,13,3,2,1,0,0,40,39
48,1,188741,14,4,9,1,4,0,0,0,50,39
24,2,183772,9,4,2,4,4,0,0,0,40,39
41,6,155041,9,4,14,3,4,0,3418,0,40,39
37,2,79586,9,5,6,3,1,1,0,0,60,39
45,2,355781,13,2,3,0,1,1,0,0,45,24
63,6,156158,9,2,14,0,4,1,0,0,16,39
36,2,116358,14,2,3,0,1,1,0,0,45,19
45,2,59287,13,2,3,0,4,1,0,0,40,39
41,2,138868,13,4,11,1,4,0,0,0,40,39
26,2,185885,12,4,12,2,4,0,0,0,20,39
17,2,40299,7,4,11,3,4,0,0,0,25,39
27,2,500068,9,2,7,0,4,1,0,0,36,0
43,2,51494,9,2,6,0,4,1,0,0,65,39
35,2,179481,9,4,13,3,4,1,0,0,55,39
38,2,365907,13,0,0,4,4,0,0,0,40,39
26,2,284343,9,4,6,1,4,1,0,0,40,39
28,2,204862,10,4,3,3,4,0,0,0,40,39
38,2,272476,13,2,9,5,4,0,0,0,24,39
36,2,175130,7,0,13,4,4,0,0,0,40,39
33,2,118941,9,2,0,5,4,0,0,0,40,39
19,2,164339,9,4,5,3,4,1,1055,0,70,39
22,6,213291,12,4,14,3,4,1,0,0,25,39
42,0,55457,6,2,0,0,4,1,0,0,40,26
50,2,280292,6,2,13,0,4,1,0,0,40,39
30,2,446894,9,2,5,0,4,1,0,0,30,39
37,5,67083,10,2,9,2,1,1,0,0,40,1
54,3,159219,15,2,9,0,4,1,99999,0,40,39
52,3,168539,13,4,3,1,4,1,0,0,40,39
33,2,150309,9,0,2,1,4,0,0,0,40,39
25,2,122999,10,4,12,2,4,1,0,0,40,39
24,2,302195,13,4,11,1,4,1,0,0,45,39
26,2,210982,11,5,0,4,2,0,114,0,40,39
39,2,177140,9,5,0,1,4,1,0,0,40,39
59,2,113838,9,0,7,1,4,0,0,0,40,39
29,2,97165,10,4,0,4,4,0,0,0,40,39
47,2,104301,7,4,7,3,4,0,0,0,45,39
23,6,192028,10,4,14,3,4,0,0,0,35,39
64,3,115931,9,2,13,0,4,1,0,0,50,39
21,2,147280,9,4,7,3,3,1,0,0,20,39
32,2,185433,10,2,0,5,2,0,0,0,40,39
26,2,599057,9,4,3,1,2,0,0,0,37,39
19,6,50626,10,4,14,3,2,0,0,0,20,39
62,4,71467,14,2,9,0,4,1,0,0,40,39
32,2,183977,13,2,2,0,4,1,0,0,55,39
75,6,26586,6,3,14,1,4,0,0,0,5,39
45,4,196858,9,2,3,0,4,1,0,0,60,39
31,2,160594,13,2,3,0,4,1,0,1887,50,39
32,2,65278,9,2,0,0,4,1,2580,0,40,39
24,2,102258,13,2,11,0,4,1,0,0,40,39
25,2,196947,13,4,11,3,4,0,0,0,40,39
41,4,233150,9,2,3,0,4,1,0,0,60,39
18,2,42857,10,4,11,3,4,0,0,0,20,39
44,2,118059,16,2,9,0,4,1,0,0,55,39
40,2,169262,10,2,3,0,4,1,3411,0,50,39
27,2,95108,13,4,9,1,4,1,0,0,40,39
23,2,161092,13,4,0,3,4,1,0,0,40,39
21,2,345253,10,4,0,1,3,1,2174,0,40,39
37,5,111275,9,2,13,0,4,1,0,0,40,39
65,4,178878,9,2,4,0,4,1,0,0,48,39
43,0,157237,14,2,9,0,4,1,0,0,40,39
45,2,155664,9,4,0,1,4,1,0,0,44,39
24,5,322658,13,4,3,1,4,0,0,0,40,39
24,2,208503,10,4,6,1,4,1,0,0,42,39
19,1,223326,10,4,10,3,4,1,0,1721,35,39
37,2,20308,13,2,9,0,4,1,0,0,65,39
24,2,124751,9,4,0,3,4,0,0,0,35,39
34,2,113364,10,2,6,0,4,1,0,0,40,11
50,5,196900,9,2,7,5,4,0,0,0,39,39
36,2,168170,9,2,2,0,4,1,0,0,40,33
39,2,205338,13,2,11,0,4,1,0,0,60,39
45,5,226452,9,2,7,0,4,1,0,0,40,39
32,5,479179,7,4,10,3,4,1,0,0,40,39
47,0,471990,14,2,3,0,2,1,0,0,40,39
50,2,44728,9,2,6,0,4,1,0,0,40,39
32,2,33117,11,2,7,0,4,1,0,0,40,39
19,2,264876,9,4,5,3,4,1,0,0,40,39
19,6,47235,10,4,14,3,4,0,0,0,20,39
28,5,293628,14,0,9,1,4,1,0,0,10,0
28,2,193122,9,0,11,2,4,1,0,0,50,39
39,0,149347,14,4,9,1,4,1,0,0,40,31
21,2,129172,10,4,7,1,4,1,2907,0,40,39
73,4,151255,10,6,4,1,4,0,0,0,75,39
25,2,238673,10,4,6,1,4,1,0,0,40,39
31,2,137991,10,1,11,5,4,0,0,0,20,39
51,2,85942,10,0,11,1,4,0,0,0,32,39
39,2,85783,13,2,0,5,4,0,0,0,28,39
31,2,174789,13,0,5,3,4,1,0,0,40,39
21,2,457162,10,4,11,3,2,1,0,0,17,39
46,2,176026,13,0,3,1,4,1,27828,0,50,39
73,2,88594,9,0,3,1,4,0,0,0,35,39
41,2,311101,9,0,2,1,4,1,0,0,40,39
20,2,273989,9,4,13,3,4,1,0,0,40,39
27,2,370242,12,4,7,1,4,1,0,0,30,39
24,2,194630,13,4,9,1,4,1,0,0,35,39
20,2,313817,10,2,2,0,4,1,0,0,40,39
39,2,195843,11,4,6,3,4,1,0,0,40,39
27,2,203160,13,4,5,1,4,1,0,0,28,39
33,2,175856,7,2,11,0,4,1,0,0,60,39
33,2,75435,9,2,5,0,0,1,0,0,40,39
36,5,291676,5,2,2,0,2,1,0,0,40,39
55,2,192869,10,2,3,0,4,1,0,0,36,39
19,2,124464,10,4,6,3,4,1,0,0,40,39
35,2,98776,9,4,3,1,4,1,0,0,60,39
62,5,312286,15,0,9,1,4,0,0,0,35,39
33,4,48520,10,2,2,0,4,1,0,0,40,39
39,2,224541,5,2,2,0,4,1,4386,0,55,26
36,1,237713,10,2,12,0,4,1,0,0,40,39
41,2,309990,13,0,0,4,4,0,0,0,33,39
39,4,37019,9,2,2,0,4,1,0,0,60,39
38,6,48976,9,2,14,5,4,0,0,1887,10,39
18,2,170183,9,4,0,3,4,0,0,0,10,39
61,2,142988,10,2,3,0,4,1,15024,0,45,39
20,0,163205,11,4,0,3,4,0,0,0,36,39
35,4,455379,9,2,13,0,4,1,0,0,65,39
27,2,104423,9,4,6,3,4,1,0,0,40,39
66,2,104936,6,6,7,4,4,0,0,0,38,39
21,2,542610,9,4,13,2,2,1,0,0,40,39
20,2,208117,10,4,7,3,4,0,0,0,18,39
34,2,105141,10,0,0,3,4,1,0,0,40,39
20,6,38455,9,4,14,4,4,1,0,0,40,39
31,2,213339,9,5,12,1,4,0,0,0,40,39
41,2,177989,16,2,9,0,4,1,0,2051,60,39
32,2,312403,13,4,3,1,4,0,0,0,40,39
30,1,176992,9,2,13,0,4,1,0,0,50,39
36,4,84294,13,2,4,0,4,1,0,0,72,39
22,2,143062,10,4,4,3,4,1,0,0,12,39
53,1,139671,10,2,3,0,4,1,0,0,50,39
50,2,116814,9,6,0,1,0,0,0,0,40,39
36,2,37778,13,2,3,0,4,1,0,0,40,39
41,3,240900,7,2,3,0,4,1,0,0,40,39
55,2,202652,13,4,3,1,4,0,0,0,35,39
38,2,52187,13,2,11,0,4,1,15024,0,50,39
28,2,349751,13,4,3,1,2,1,2174,0,50,39
24,1,238384,13,4,9,3,4,0,0,0,37,39
60,2,209844,10,0,0,2,4,0,0,0,40,39
